ASSURED NAME,VESSEL,POLICY NUMBER,INCEPT DATE,EXPIRY DATE,ITEM NUMBER,ITEM TITLE,OCCUPANCY,CLAIM NUMBER,DATE OF LOSS,CURRENCY,POLICY GROSS SUM INSURED,POLICY RETAINED SUM INSURED,POLICY QS SUM INSURED,POLICY SURPLUS SUM INSURED,POLICY PMMSC SUM INSURED,POLICY OTHER TREATY SUM INSURED,POLICY FACUL SUM INSURED,ITEM GROSS SUM INSURED,ITEM RETAINED SUM INSURED,ITEM QS SUM INSURED,ITEM SURPLUS SUM INSURED,ITEM PMMSC SUM INSURED,ITEM OTHER TREATY SUM INSURED,ITEM FACUL SUM INSURED,LOSS RESERVE,LOSS PAID,EXPENSE RESERVE,EXPENSE PAID,RECOVERIES,LOSS DESCRIPTION,LOSS DETAIL,STATUS,FRONTING/REFERRED,INTM NUMBER,INTERMEDIARY NAME,WITH EX-GRATIA,CO INSURANCE,PISC LEAD CO I,ORG TYPE
"EMILIO D. LOPUE, SR.",,FI-NIL-BC-21-0000086-00-D,02/12/2021,02/12/2022,1,BUILDING,WAREHOUSE - OTHERS,FI-NIL-BC-21-00006,12/16/2021,PHP,2000000,2000000,0,0,0,0,0,1000000,1000000,0,0,0,0,0,0,0,5421,5421,0,damaged building and stocks,,CLOSED,,1539,BINKY T. UY,N,N,N,R
"EMILIO D. LOPUE, SR.",,FI-NIL-BC-21-0000087-00-D,02/12/2021,02/12/2022,1,BUILDING,RESIDENTIAL,FI-NIL-BC-21-00007,12/16/2021,PHP,3000000,3000000,0,0,0,0,0,2000000,2000000,0,0,0,0,0,0,0,4100,4100,0,damaged building and contents,,CLOSED,,1539,BINKY T. UY,N,N,N,R
"EMILIO D. LOPUE, SR.",,FI-NIL-BC-21-0000088-00-D,02/13/2021,02/13/2022,1,BUILDING,RESIDENTIAL,FI-NIL-BC-21-00008,12/16/2021,PHP,3000000,3000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,0,0,0,0,0,damaged building ,,OUTSTANDING,,1539,BINKY T. UY,N,N,N,R
"GELSANAO, JOHN DARELL & MARY JANE SPS",,FI-NIL-BC-21-0000152-00-D,01/25/2021,01/25/2022,1,BUILDING,RESIDENTIAL,FI-NIL-BC-22-00001,12/16/2021,PHP,956000,956000,0,0,0,0,0,956000,956000,0,0,0,0,0,0,0,0,0,0,typhoon damages,partial loss,CLOSED,,548,"CHINABANK INSURANCE BROKERS, INC.",N,N,N,R
ARIEL CARTON PACHICA,,FI-NIL-BC-21-0000340-00-D,03/16/2021,03/16/2022,1,BUILDING,VARIOUS OCCUPANCY,FI-NIL-BC-22-00002,12/16/2021,PHP,4000000,4000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,0,0,0,0,0,DAMAGE TO BUILDING,,CLOSED,,4276,ROCHELL B. LEDESMA,N,N,N,R
"MADALOGDOG, VEN RYAN, VERNIE &  ERNESTO JR.",,FI-NIL-BC-21-0000424-00-D,06/13/2021,06/13/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-BC-21-00005,12/16/2021,PHP,3000000,3000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,71200,71200,15911.95,15911.95,0,damaged building,,CLOSED,,4100,LORNA J. LO,N,N,N,R
"SELMA, MA. KAREN E.",,FI-NIL-BC-21-0000445-00-D,06/01/2021,06/01/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-BC-22-00005,12/16/2021,PHP,4468000,4468000,0,0,0,0,0,4468000,4468000,0,0,0,0,0,1226865.99,1226865.99,70316,70316,0,DAMAGE TO BUILDING,,OS-FOR APPROVAL,,548,"CHINABANK INSURANCE BROKERS, INC.",N,N,N,R
SPS EDILBERTO/ROSITA TAN YU,,FI-NIL-BC-21-0000582-00-D,08/11/2021,08/11/2022,1,BUILDING,RESIDENTIAL,FI-NIL-BC-21-00011,12/16/2021,PHP,20000000,20000000,0,0,0,0,0,20000000,20000000,0,0,0,0,0,202565.39,202565.39,16998,16998,0,damaged building,,CLOSED,,2703,CAESAR I. GAWCEN,N,N,N,R
LORNA BLACK,,FI-NIL-BC-21-0000615-00-D,07/01/2021,07/01/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-BC-21-00012,12/16/2021,PHP,12000000,12000000,0,0,0,0,0,12000000,12000000,0,0,0,0,0,0,0,0,0,0,damaged building,,CLOSED,,40000,BACOLOD BRANCH,N,N,N,R
MAY K. GAURANA,,FI-NIL-BC-21-0000806-00-D,10/10/2021,10/10/2022,1,BUILDING,RESIDENTIAL,FI-NIL-BC-21-00009,12/16/2021,PHP,1500000,1500000,0,0,0,0,0,1000000,1000000,0,0,0,0,0,0,0,8790.8,8790.8,0,damaged building and contents,,CLOSED,,2594,JASMIN H. SUBANG,N,N,N,R
SPS. MIGUEL SALUDO TORRES JR. AND GRACE ENRILE TORRES FAO:  SPS. MIGUEL JR & GRACE TORRES,,FI-NIL-BC-21-0000838-00-D,10/30/2021,10/30/2022,1,SHOWROOM1/SHOWROOM2,WAREHOUSE - OTHERS,FI-NIL-BC-21-00013,12/16/2021,PHP,8720550,8720550,0,0,0,0,0,3336000,3336000,0,0,0,0,0,817443.86,817443.86,66811,66811,0,TYPHOON ODETTE,,CLOSED,,4098,GRACE E. TORRES,N,N,N,R
SPS. MIGUEL SALUDO TORRES JR. AND GRACE ENRILE TORRES FAO:  SPS. MIGUEL JR & GRACE TORRES,,FI-NIL-BC-21-0000838-00-D,10/30/2021,10/30/2022,4,WHSE & 2 STOREY CB,WAREHOUSE - OTHERS,FI-NIL-BC-21-00013,12/16/2021,PHP,8720550,8720550,0,0,0,0,0,3784800,3784800,0,0,0,0,0,311678,311678,0,0,0,TYPHOON ODETTE,,CLOSED,,4098,GRACE E. TORRES,N,N,N,R
