ASSURED NAME,VESSEL,POLICY NUMBER,INCEPT DATE,EXPIRY DATE,ITEM NUMBER,ITEM TITLE,CLAIM NUMBER,DATE OF LOSS,CURRENCY,POLICY GROSS SUM INSURED,POLICY RETAINED SUM INSURED,POLICY QS SUM INSURED,POLICY SURPLUS SUM INSURED,POLICY PMMSC SUM INSURED,POLICY OTHER TREATY SUM INSURED,POLICY FACUL SUM INSURED,ITEM GROSS SUM INSURED,ITEM RETAINED SUM INSURED,ITEM QS SUM INSURED,ITEM SURPLUS SUM INSURED,ITEM PMMSC SUM INSURED,ITEM OTHER TREATY SUM INSURED,ITEM FACUL SUM INSURED,LOSS RESERVE,LOSS PAID,EXPENSE RESERVE,EXPENSE PAID,RECOVERIES,LOSS DESCRIPTION,LOSS DETAIL,STATUS,FRONTING/REFERRED,INTM NUMBER,INTERMEDIARY NAME,WITH EX-GRATIA,ORG TYPE
TRAVELBEE MANAGEMENT CORPORATION (BUSINESS INN),,GA-CGL-CB-21-0000050-00-D,09/05/2021,09/05/2022,1,PREMISES/OPERATIONS,GA-CGL-CB-22-00001,12/16/2021,PHP,500000,500000,0,0,0,0,0,500000,500000,0,0,0,0,0,0,0,0,0,0,Damage to guests' vehicles due,to typhoon Odette,DENIED,,4988,BRIAN NELSON U. YAP,N,I
ORIENTAL PORT AND ALLIED SERVICES CORPORATION,,GA-CGL-HC-21-0000006-09-D,10/12/2021,10/12/2022,1,PREMISES/OPERATIONS,GA-CGL-HC-22-00001,12/16/2021,PHP,5000000,5000000,0,0,0,0,0,5000000,5000000,0,0,0,0,0,0,0,0,0,0,Alleged third party loss due,to typhoon Odette,CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"DAVAO LIGHT AND POWER COMPANY, INC. &/OR COTABATO LIGHT AND POWER COMPANY &/OR VISAYAN ELECTRIC COMPANY &/OR SUBIC ENERZONE                  SUBIC ",,GA-CGL-HO-21-0000171-09-D,11/30/2021,11/30/2022,1,PREMISES/OPERATIONS,GA-CGL-HO-22-00058,12/16/2021,PHP,5000000,0,0,0,0,0,5000000,5000000,0,0,0,0,0,5000000,0,0,0,0,0,Damage to the property of the,claimant when accidentally hit by the Insured's electric pole,CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
"LIBHU HILL RESORT &/OR LARSSON, ERLINDA S.",,GA-CGL-HT-21-0000001-00-D,05/04/2021,05/04/2022,1,PREMISES/OPERATIONS,GA-CGL-HT-22-00001,12/16/2021,PHP,1000000,200000,0,800000,0,0,0,1000000,200000,0,800000,0,0,0,0,0,0,0,0,Potential claim due to typhoon,Odette,CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"VARIOUS DECLARED AYALA CORPORATION AND SUBSIDIARIES (EXCLUDING AYALA LAND, INC.)",,GA-CGL-RS-20-0000021-02-D,12/31/2020,12/31/2021,1,PREMISES/OPERATIONS,GA-CGL-RS-21-00084,12/16/2021,USD,2000000,400000,0,1600000,0,0,0,2000000,400000,0,1600000,0,0,0,0,0,0,0,0,Potential Third Party losses ,due to Typhoon Odette,CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
"VARIOUS DECLARED AYALA CORPORATION AND SUBSIDIARIES (EXCLUDING AYALA LAND, INC.)",,GA-CGL-RS-20-0000021-02-D,12/31/2020,12/31/2021,1,PREMISES/OPERATIONS,GA-CGL-RS-21-00086,12/16/2021,USD,2000000,400000,0,1600000,0,0,0,2000000,400000,0,1600000,0,0,0,0,0,374.13,374.13,0,Potential Third Party loss due,to Typhoon Odette,NOT PURSUED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
"VARIOUS DECLARED AYALA CORPORATION AND SUBSIDIARIES (EXCLUDING AYALA LAND, INC.)",,GA-CGL-RS-20-0000021-02-D,12/31/2020,12/31/2021,1,PREMISES/OPERATIONS,GA-CGL-RS-22-00004,12/16/2021,USD,2000000,400000,0,1600000,0,0,0,2000000,400000,0,1600000,0,0,0,0,0,234.92,234.92,0,Toppled rooftop tripod with,damages at ParkMall rooftop,CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
"VARIOUS DECLARED AYALA CORPORATION AND SUBSIDIARIES (EXCLUDING AYALA LAND, INC.)",,GA-CGL-RS-20-0000021-02-D,12/31/2020,12/31/2021,1,PREMISES/OPERATIONS,GA-CGL-RS-22-00005,12/16/2021,USD,2000000,400000,0,1600000,0,0,0,2000000,400000,0,1600000,0,0,0,18767.95,18767.95,1054.7,1054.7,0,Damage to properties of the,claimant due to typhoon Odette,CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
"VARIOUS DECLARED AYALA CORPORATION AND SUBSIDIARIES (EXCLUDING AYALA LAND, INC.)",,GA-CGL-RS-20-0000021-02-D,12/31/2020,12/31/2021,1,PREMISES/OPERATIONS,GA-CGL-RS-22-00006,12/16/2021,USD,2000000,400000,0,1600000,0,0,0,2000000,400000,0,1600000,0,0,0,0,0,0,0,0,Damage to claimant's property,due to typhoon Odette,CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
"VARIOUS DECLARED AYALA CORPORATION AND SUBSIDIARIES (EXCLUDING AYALA LAND, INC.)",,GA-CGL-RS-20-0000021-02-D,12/31/2020,12/31/2021,1,PREMISES/OPERATIONS,GA-CGL-RS-22-00007,12/16/2021,USD,2000000,400000,0,1600000,0,0,0,2000000,400000,0,1600000,0,0,0,0,0,0,0,0,Damage to claimant's property,"due to typhoon Odette""""",CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
