ASSURED NAME,VESSEL,POLICY NUMBER,INCEPT DATE,EXPIRY DATE,ITEM NUMBER,ITEM TITLE,CLAIM NUMBER,DATE OF LOSS,CURRENCY,POLICY GROSS SUM INSURED,POLICY RETAINED SUM INSURED,POLICY QS SUM INSURED,POLICY SURPLUS SUM INSURED,POLICY PMMSC SUM INSURED,POLICY OTHER TREATY SUM INSURED,POLICY FACUL SUM INSURED,ITEM GROSS SUM INSURED,ITEM RETAINED SUM INSURED,ITEM QS SUM INSURED,ITEM SURPLUS SUM INSURED,ITEM PMMSC SUM INSURED,ITEM OTHER TREATY SUM INSURED,ITEM FACUL SUM INSURED,LOSS RESERVE,LOSS PAID,EXPENSE RESERVE,EXPENSE PAID,RECOVERIES,LOSS DESCRIPTION,LOSS DETAIL,STATUS,FRONTING/REFERRED,INTM NUMBER,INTERMEDIARY NAME,WITH EX-GRATIA,ORG TYPE
TRI-STAR MEGALINK CORPORATION,,MH-NIL-HB-20-0000011-00-D,02/20/2021,02/20/2022,1,OUR LADY OF THE PHIL,MH-NIL-HB-20-00002,12/16/2021,PHP,40000000,14700000,0,0,0,25300000,0,40000000,14700000,0,0,0,25300000,0,61851.89,61851.89,0,0,0,Damage to BREDCO Port,"due to typhoon Odette""""",CLOSED,,2304,RODOLFO U. GAWCEN,Y,I
TRI-STAR MEGALINK CORPORATION,,MH-NIL-HB-20-0000014-00-D,04/28/2021,04/28/2022,1,OUR LADY OF THE PHIL,MH-NIL-HB-20-00003,12/16/2021,PHP,40000000,14700000,0,0,0,25300000,0,40000000,14700000,0,0,0,25300000,0,61851.89,61851.89,0,0,0,Damage to BREDCO Port,"due to typhoon Odette""""",CLOSED,,2304,RODOLFO U. GAWCEN,Y,I
TRI-STAR MEGALINK CORPORATION,,MH-NIL-HB-20-0000016-00-D,05/26/2021,05/26/2022,1,LCT HOLY FAMILY NAVI,MH-NIL-HB-20-00004,12/16/2021,PHP,30000000,14700000,0,0,0,15300000,0,30000000,14700000,0,0,0,15300000,0,37873.21,37873.21,0,0,0,Damage to BREDCO Port,"due to typhoon Odette""""",CLOSED,,2304,RODOLFO U. GAWCEN,Y,I
TRI-STAR MEGALINK CORPORATION,,MH-NIL-HB-21-0000001-00-D,07/26/2021,07/26/2022,1,LCT ARCHANGEL NAVIST,MH-NIL-HB-21-00001,12/16/2021,PHP,25000000,14700000,0,0,0,10300000,0,25000000,14700000,0,0,0,10300000,0,74863.8,74863.8,0,0,0,Damage to BREDCO Port,"due to typhoon Odette""""",CLOSED,,2304,RODOLFO U. GAWCEN,Y,I
TRI-STAR MEGALINK CORPORATION,,MH-NIL-HB-21-0000002-00-D,09/12/2021,09/12/2022,1,SR. STO. NINO NAVIST,MH-NIL-HB-21-00002,12/16/2021,PHP,10000000,10000000,0,0,0,0,0,10000000,10000000,0,0,0,0,0,59072.03,59072.03,0,0,0,Damage to BREDCO Port,"due to typhoon Odette""""",CLOSED,,2304,RODOLFO U. GAWCEN,Y,I
TRI-STAR MEGALINK CORPORATION,,MH-NIL-HB-21-0000004-00-D,12/12/2021,12/12/2022,1,SAINT ISIDORE TWO NA,MH-NIL-HB-21-00003,12/16/2021,PHP,40000000,14700000,0,0,0,25300000,0,40000000,14700000,0,0,0,25300000,0,74800.18,74800.18,0,0,0,Damage to BREDCO Port,"due to typhoon Odette""""",CLOSED,,2304,RODOLFO U. GAWCEN,Y,I
"GOTHONG SOUTHERN SHIPPING LINES, INC.",,MH-NIL-HC-20-0000063-00-D,12/31/2020,12/31/2021,1,DON CHARLES ROBERT E,MH-NIL-HC-20-00004,12/16/2021,USD,4640000,640000,0,0,0,1680000,2320000,4640000,640000,0,0,0,1680000,2320000,735004.74,735004.74,45139.29,45139.29,0,Contact with jetty,"and grounding due to typhoon Odette""""",CLOSED,,1192,ALBERTO YAP,N,I
COLORADO SHIPYARD CORP.,,MH-NIL-HC-20-0000082-00-D,06/14/2021,06/13/2022,1,COLORADO SHIPYARD,MH-NIL-HC-20-00003,12/16/2021,USD,2500000,0,0,0,0,0,2500000,2500000,0,0,0,0,0,2500000,0,0,12000,12000,0,Damage to vessels,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
GOLDEN STAR MANNING & SHIP MANAGEMENT CORPORATION,,MH-NIL-HC-21-0000031-00-D,10/19/2021,10/19/2022,1,ANSARAH,MH-NIL-HC-21-00001,12/16/2021,PHP,15000000,15000000,0,0,0,0,0,15000000,15000000,0,0,0,0,0,15900000,15000000,222500,22500,-2350000,Grounding,"due to typhoon Odette""""",OS-FOR APPROVAL,,3204,CORNELIO A. CABARDO,N,I
EVARISTO AND SONS SEA TRANSPORT CORPORATION,,MH-NIL-HG-20-0000011-00-D,01/18/2021,01/18/2022,1,PRECIOUS FERRY EX FE,MH-NIL-HG-20-00001,12/16/2021,PHP,26330000,26330000,0,0,0,0,0,26330000,26330000,0,0,0,0,0,3859782.28,3859782.28,294444.66,294444.66,0,Contact with vessels,"due to typhoon Odette""""",CLOSED,,3564,CARMEN H. BUMANGLAG,N,I
EVARISTO AND SONS SEA TRANSPORT CORP.,,MH-NIL-HG-20-0000026-00-D,05/28/2021,01/18/2022,1,SEAN FERRY 2,MH-NIL-HG-20-00002,12/16/2021,PHP,28000000,15300000,0,0,0,12700000,0,28000000,15300000,0,0,0,12700000,0,2042749.71,2042749.71,210669.67,210669.67,0,Contact with vessels,"due to typhoon Odette""""",CLOSED,,0,DIRECT BUSINESS,N,I
EVARISTO AND SONS SEA TRANSPORT CORP.,,MH-NIL-HG-21-0000001-00-D,09/25/2021,01/18/2022,1,NATHAN FERRY 3,MH-NIL-HG-21-00001,12/16/2021,PHP,42000000,15300000,0,0,0,26700000,0,42000000,15300000,0,0,0,26700000,0,3669865.57,3669865.57,375569.67,375569.67,0,Contact with vessels,"and touched bottom due to typhoon Odette""""",CLOSED,,0,DIRECT BUSINESS,N,I
EVARISTO AND SONS SEA TRANSPORT CORPORATION,,MH-NIL-HG-21-0000010-00-D,10/02/2021,01/18/2022,1,SABINA FERRY 6 EX KA,MH-NIL-HG-21-00002,12/16/2021,PHP,25000000,15300000,0,0,0,9700000,0,25000000,15300000,0,0,0,9700000,0,8576464.7,8576464.7,658975,658975,0,Grounding ,"due to typhoon Odette""""",CLOSED,,3564,CARMEN H. BUMANGLAG,N,I
"SEABORNE SHIPPING LINES, INC.",,MH-NIL-HM-20-0000035-00-D,03/15/2021,03/15/2022,1,SEABORNE CARGO 6 EX,MH-NIL-HM-20-00004,12/16/2021,PHP,126000000,45675000,0,0,0,80325000,0,126000000,45675000,0,0,0,80325000,0,144481301.7,144481301.7,492926.19,492926.19,-15250000,"Contact with Filipinas Jagna""""","on 16 Dec 2021 and flooding onboard on 24 Dec 2021 due to typhoon Odette"" """,CLOSED,,4975,REXMOND G. FANG,N,I
CEBU LINK JOINT VENTURE,,MH-NIL-HO-20-0000614-00-D,01/08/2021,01/08/2022,1,WATER TAXI 880,MH-NIL-HO-20-00076,12/16/2021,PHP,3889500,3889500,0,0,0,0,0,3889500,3889500,0,0,0,0,0,2333700,2333700,22500,22500,0,Capsized,"due to typhoon Odette""""",CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
CEBU LINK JOINT VENTURE,,MH-NIL-HO-20-0000616-00-D,01/08/2021,01/08/2022,1,WATER TAXI 760,MH-NIL-HO-20-00075,12/16/2021,PHP,2387500,2387500,0,0,0,0,0,2387500,2387500,0,0,0,0,0,1432500,1432500,22500,22500,0,Capsized,"due to typhoon Odette""""",CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
LITE SHIPPING CORPORATION,,MH-NIL-HO-20-0000720-00-D,01/30/2021,01/30/2022,1,LITE FERRY 18 EX XIN,MH-NIL-HO-20-00037,12/16/2021,PHP,304000000,100080000,0,0,0,82320000,121600000,304000000,100080000,0,0,0,82320000,121600000,300000000,300000000,18000,18000,0,Capsized,"due to typhoon Odette""""",CLOSED,,2744,"TRINITY INSURANCE BROKERS CEBU, INC.",N,I
LITE SHIPPING CORPORATION,,MH-NIL-HO-20-0000721-00-D,01/30/2021,01/30/2022,1,LITE FERRY 18 EX XIN,MH-NIL-HO-20-00038,12/17/2021,PHP,76000000,25020000,0,0,0,20580000,30400000,76000000,25020000,0,0,0,20580000,30400000,75000000,75000000,4500,4500,0,Capsized,"due to typhoon Odette""""",CLOSED,,2744,"TRINITY INSURANCE BROKERS CEBU, INC.",N,I
CHE CHE BLUE ARCHER TEAM INC.,,MH-NIL-HO-20-0000743-00-D,12/27/2020,12/27/2021,1,ANIMO EX AROWANA III,MH-NIL-HO-20-00069,12/16/2021,PHP,60000000,14700000,0,0,0,45300000,0,60000000,14700000,0,0,0,45300000,0,26681356.88,26681356.88,1328302.35,1328302.35,0,Grounding,"due to typhoon Odette""""",CLOSED,,1096,"REGOSO & COMPANY INSURANCE AGENCY, INC.",N,I
FLYING VESSEL CORPORATION ,,MH-NIL-HO-20-0000747-00-D,12/27/2020,12/27/2021,1,BULUSAN-2 EX ROOSEVE,MH-NIL-HO-20-00070,12/17/2021,PHP,175000000,72100000,0,0,0,102900000,0,175000000,72100000,0,0,0,102900000,0,9944366.42,9944366.42,685962.28,685962.28,0,Stranding,"due to typhoon Odette""""",CLOSED,,1096,"REGOSO & COMPANY INSURANCE AGENCY, INC.",N,I
"COKALIONG SHIPPING LINES, INC.",,MH-NIL-HO-20-0000761-00-D,01/29/2021,01/28/2022,1,FILIPINAS MAASIN,MH-NIL-HO-20-00059,12/16/2021,PHP,140000000,140000000,0,0,0,0,0,140000000,140000000,0,0,0,0,0,74000000,0,1810000,22500,0,Grounding,"due to typhoon Odette""""",OS-ADJUSTER,,0,DIRECT BUSINESS,N,I
"COKALIONG SHIPPING LINES, INC.",,MH-NIL-HO-20-0000770-00-D,01/29/2021,01/28/2022,1,FILIPINAS CAGAYAN DE,MH-NIL-HO-20-00060,12/16/2021,PHP,294000000,106575000,0,0,0,77175000,110250000,294000000,106575000,0,0,0,77175000,110250000,13778216.94,13778216.94,681500,681500,0,Grounding ,"due to typhoon Odette""""",CLOSED,,0,DIRECT BUSINESS,N,I
COKALIONG CONTAINER CARRIER CORP.,,MH-NIL-HO-20-0000772-00-D,01/29/2021,01/28/2022,1,COKALIONG TUG 1 EX S,MH-NIL-HO-20-00065,12/16/2021,PHP,40000000,40000000,0,0,0,0,0,40000000,40000000,0,0,0,0,0,8000000,8000000,456300,418800,0,Grounding,"due to typhoon Odette""""",OS-FOR APPROVAL,,0,DIRECT BUSINESS,N,I
COKALIONG CONTAINER CARRIER CORP.,,MH-NIL-HO-20-0000773-00-D,01/29/2021,01/28/2022,1,COKALIONG TUG 2 EX S,MH-NIL-HO-20-00066,12/16/2021,PHP,36200000,14700000,0,0,0,21500000,0,36200000,14700000,0,0,0,21500000,0,38798800,38798800,22500,22500,-2800000,Grounding and submerged in sea,"due to typhoon Odette""""",CLOSED,,0,DIRECT BUSINESS,N,I
MANDAUE SHIPPING & LIGHTERAGE CORPORATION,,MH-NIL-HO-20-0000882-00-D,04/20/2021,04/20/2022,1,STO. NINO,MH-NIL-HO-20-00031,12/16/2021,PHP,20000000,20000000,0,0,0,0,0,20000000,20000000,0,0,0,0,0,0,0,0,0,0,Ran aground at Bohol,,CLOSED,,0,DIRECT BUSINESS,N,I
MANDAUE SHIPPING & LIGHTERAGE CORPORATION,,MH-NIL-HO-20-0000886-00-D,04/20/2021,04/20/2022,1,ST. BRENDAN,MH-NIL-HO-20-00032,12/16/2021,PHP,52000000,11760000,0,0,0,40240000,0,52000000,11760000,0,0,0,40240000,0,0,0,0,0,0,Ran aground at Bohol,,CLOSED,,0,DIRECT BUSINESS,N,I
MANDAUE SHIPPING & LIGHTERAGE CORPORATION,,MH-NIL-HO-20-0000890-00-D,04/20/2021,04/20/2022,1,TEOFILO CAMOMOT EX M,MH-NIL-HO-20-00033,12/16/2021,PHP,20000000,14700000,0,0,0,5300000,0,20000000,14700000,0,0,0,5300000,0,0,0,0,0,0,Ran aground at Bohol,,CLOSED,,0,DIRECT BUSINESS,N,I
FILMINERA RESOURCES CORPORATION AND/OR PHIL. GOLD PROCESSING AND REFINING CORP.,,MH-NIL-HO-20-0001005-00-D,06/30/2021,06/30/2022,1,MGP 1 EX LEIGHTON -,MH-NIL-HO-20-00057,12/16/2021,USD,200000,200000,0,0,0,0,0,200000,200000,0,0,0,0,0,0,0,676.96,676.96,0,Contact with vessels,"and grounding due to typhoon Odette""""",CLOSED,,551,"LACSON & LACSON INSURANCE BROKERS, INC.",N,I
FILMINERA RESOURCES CORPORATION / PHIL. GOLD PROCESSING & REFINING CORPORATION,,MH-NIL-HO-20-0001007-00-D,06/30/2021,06/30/2022,1,MGP 2 EX LEIGHTON -,MH-NIL-HO-20-00058,12/16/2021,USD,300000,300000,0,0,0,0,0,300000,300000,0,0,0,0,0,10807.42,10807.42,1969.16,1969.16,0,Contact with vessels,"and grounding due to typhoon Odette""""",CLOSED,,551,"LACSON & LACSON INSURANCE BROKERS, INC.",N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001156-00-D,05/31/2021,05/31/2022,1,CASTOR 2 EX URBIZTON,MH-NIL-HO-20-00039,12/16/2021,PHP,50000000,15300000,0,0,0,34700000,0,50000000,15300000,0,0,0,34700000,0,25000000,25000000,32653.72,32653.72,0,Grounding,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001158-00-D,05/31/2021,05/31/2022,1,CASTOR 3 EX FS BORJA,MH-NIL-HO-20-00040,12/16/2021,PHP,45000000,15300000,0,0,0,29700000,0,45000000,15300000,0,0,0,29700000,0,22500000,22500000,28278.72,28278.72,0,Grounding,"due to typhoon Odette""""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"CONCRETE SOLUTIONS, INC. AND/OR PRIMARY TRIDENT MARINE SOLUTIONS, INC.",,MH-NIL-HO-20-0001160-00-D,05/31/2021,05/31/2022,1,CASTOR 5 EX PROGRESS,MH-NIL-HO-20-00041,12/16/2021,PHP,40000000,15300000,0,0,0,24700000,0,40000000,15300000,0,0,0,24700000,0,20000000,20000000,33100.15,33100.15,0,Grounding,"due to typhoon Odette""",CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
