ASSURED NAME,VESSEL,POLICY NUMBER,INCEPT DATE,EXPIRY DATE,ITEM NUMBER,ITEM TITLE,CLAIM NUMBER,DATE OF LOSS,CURRENCY,POLICY GROSS SUM INSURED,POLICY RETAINED SUM INSURED,POLICY QS SUM INSURED,POLICY SURPLUS SUM INSURED,POLICY PMMSC SUM INSURED,POLICY OTHER TREATY SUM INSURED,POLICY FACUL SUM INSURED,ITEM GROSS SUM INSURED,ITEM RETAINED SUM INSURED,ITEM QS SUM INSURED,ITEM SURPLUS SUM INSURED,ITEM PMMSC SUM INSURED,ITEM OTHER TREATY SUM INSURED,ITEM FACUL SUM INSURED,LOSS RESERVE,LOSS PAID,EXPENSE RESERVE,EXPENSE PAID,RECOVERIES,LOSS DESCRIPTION,LOSS DETAIL,STATUS,FRONTING/REFERRED,INTM NUMBER,INTERMEDIARY NAME,WITH EX-GRATIA,ORG TYPE
PHILIPPINE SPAN ASIA CARRIER CORPORATION,,MN-MAR-HC-21-0000001-00-D,02/03/2021,02/03/2022,1,Containers,MN-MAR-HC-21-00001,12/21/2021,PHP,2304554000,2304554000,0,0,0,0,0,2304554000,2304554000,0,0,0,0,0,0,0,0,0,0,VARIOUS CONTAINERS,TYPHOON ODETTE,CLOSED,,1192,ALBERTO YAP,N,I
"2GO GROUP, INC. AND/OR SCANASIA, INC.",,MN-MAR-HO-20-0003746-00-D,12/18/2020,12/18/2021,1,Approved Cargo,MN-MAR-HO-22-00002,12/16/2021,PHP,350000000,87500000,0,0,0,0,262500000,350000000,87500000,0,0,0,0,262500000,0,0,0,0,0,2GO GROUP CONTAINERS,MV ALESON CON CARRIER 8,CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"2GO GROUP, INC. AND/OR SCANASIA, INC.",,MN-MAR-HO-20-0003746-00-D,12/18/2020,12/18/2021,1,Approved Cargo,MN-MAR-HO-22-00050,12/16/2021,PHP,350000000,87500000,0,0,0,0,262500000,350000000,87500000,0,0,0,0,262500000,0,0,114514.42,114514.42,0,WYETH PRODUCTS-MILK POWDER,TYPHOON ODETTE,DENIED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"2GO LOGISTICS, INC. AND/OR 2GO EXPRESS, INC AND/OR SPECIAL CONTAINER AND VALUE ADDED SERVICES, INC. (SCVASI)",,MN-MAR-HO-21-0000091-00-D,12/21/2020,12/21/2021,1,Approved Cargo,MN-MAR-HO-22-00021,12/16/2021,PHP,50000000,0,0,0,0,0,50000000,50000000,0,0,0,0,0,50000000,0,0,54180.9,54180.9,0,MEADJOHNSON PRODUCTS,TYPHOON ODETTE,CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
"2GO LOGISTICS, INC. AND/OR 2GO EXPRESS, INC AND/OR SPECIAL CONTAINER AND VALUE ADDED SERVICES, INC. (SCVASI)",,MN-MAR-HO-21-0000091-00-D,12/21/2020,12/21/2021,1,Approved Cargo,MN-MAR-HO-22-00028,12/16/2021,PHP,50000000,0,0,0,0,0,50000000,50000000,0,0,0,0,0,50000000,0,0,0,0,0,TYPHOON ODETTE,SAN MIGUEL PRODUCTS,CLOSED,,490,BDO INSURANCE AND REINSURANCE BROKERS INCORPORATED,N,I
CENTURY PACIFIC GROUP OF COMPANIES,,MN-MAR-HO-21-0000197-00-D,12/28/2020,12/28/2021,1,Approved Cargo,MN-MAR-HO-21-00284,12/17/2021,PHP,200000000,200000000,0,0,0,0,0,200000000,200000000,0,0,0,0,0,0,0,0,0,0,DAMAGE DUE TO TYPHOON ODETTE,CENTURY CEBU WAREHOUSE,NOT PURSUED,,130,NCIA NON-LIFE INSURANCE SERVICES AGENCY INC.,N,I
CENTURY PACIFIC GROUP OF COMPANIES,,MN-MAR-HO-21-0000197-00-D,12/28/2020,12/28/2021,1,Approved Cargo,MN-MAR-HO-21-00285,12/17/2021,PHP,200000000,200000000,0,0,0,0,0,200000000,200000000,0,0,0,0,0,0,0,0,0,0,DAMAGE DUE TO TYPHOON ODETTE,CENTURY ILOILO WAREHOUSE,NOT PURSUED,,130,NCIA NON-LIFE INSURANCE SERVICES AGENCY INC.,N,I
"SUPER TRADE ENTERPRISES AND/OR SUPER TRADE MACHINERY GLOBAL, INC.",,MN-MAR-HO-21-0000507-00-D,02/02/2021,02/02/2022,1,Machinery/Equipment,MN-MAR-HO-22-00059,12/15/2021,PHP,53000000,53000000,0,0,0,0,0,53000000,53000000,0,0,0,0,0,797492,797492,19908,19908,-125400,MV SEABORNE 6,57 UNITS OF SUPER KAMA ENGINE,CLOSED,,0,DIRECT BUSINESS,N,I
"NOKIA SOLUTIONS & NETWORKS PHILIPPINES, INC.",,MN-MAR-HO-21-0001354-00-D,05/01/2021,04/30/2022,1,Telecom Equipment,MN-MAR-HO-21-00306,12/21/2021,PHP,589930000,29496500,0,0,0,0,560433500,589930000,29496500,0,0,0,0,560433500,0,0,0,0,0,TELECOM EQUIPMENT,TYPHOON ODETTE,NOT PURSUED,IF P&C Insurance Company Ltd.,0,DIRECT BUSINESS,N,I
"FIRST PGMC ENTERPRISES, INC.",,MN-MAR-HO-21-0001359-00-D,04/30/2021,05/30/2022,1,Raw Mat/Machy/Eqpt,MN-MAR-HO-22-00026,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,50000000,50000000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,BL#CEB211200000431; CEB211200000428; CEB211200000597,NOT PURSUED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
PILMICO FOODS CORPORATION AND PILMICO ANIMAL NUTRITION CORPORATION,,MN-MAR-HO-21-0001994-00-D,05/31/2021,11/30/2022,1,Approved Cargo,MN-MAR-HO-21-00288,12/22/2021,USD,58000000,1160000,0,0,0,0,56840000,58000000,1160000,0,0,0,0,56840000,158357.97,32863.86,0,0,0,"1,800 MT SBM",VESSEL GOT STRANDED IN CEBU PORT,OS-FOR APPROVAL,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
PILMICO FOODS CORPORATION AND PILMICO ANIMAL NUTRITION CORPORATION,,MN-MAR-HO-21-0001994-00-D,05/31/2021,11/30/2022,1,Approved Cargo,MN-MAR-HO-21-00289,12/22/2021,USD,58000000,1160000,0,0,0,0,56840000,58000000,1160000,0,0,0,0,56840000,0,0,0,0,0,PILMICO PRODUCTS,"LOCATION:  JAGOBIAO, MANDAUE, CEBU",CLOSED,,358,"AON INSURANCE & REINSURANCE BROKERS PHILS., INC.",N,I
